strategy,run,metric,batch,value
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,238,0.04714
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,239,0.062237
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,240,0.047717
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,241,0.049682
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,242,0.060342
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,243,0.04686
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,244,0.054416
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,245,0.059191
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,246,0.046001
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,247,0.052667
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,248,0.052477
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,249,0.046768
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,KL Loss,1,4.524299
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,KL Loss,2,2.917403
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,KL Loss,3,2.712669
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,KL Loss,4,2.47174
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,KL Loss,5,2.134116
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,KL Loss,6,1.77419
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,KL Loss,7,1.463196
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,KL Loss,8,1.131943
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,KL Loss,9,0.878779
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,KL Loss,10,0.696231
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,KL Loss,11,0.531309
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,KL Loss,12,0.415997
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,KL Loss,13,0.338015
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,KL Loss,14,0.299037
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,KL Loss,15,0.253412
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,KL Loss,16,0.193747
